32x,4079,After Burner,/jogos/32x/4079/after-burner/
32x,4821,Blackthorne,/jogos/32x/4821/blackthorne/
32x,4074,Brutal: Above the Claw,/jogos/32x/4074/brutal-above-the-claw/
32x,4816,Corpse Killer,/jogos/32x/4816/corpse-killer/
32x,4075,Cosmic Carnage,/jogos/32x/4075/cosmic-carnage/
32x,4818,Darxide,/jogos/32x/4818/darxide/
32x,4333,Doom,/jogos/32x/4333/doom/
32x,4334,Knuckles' Chaotix,/jogos/32x/4334/knuckles-chaotix/
32x,4815,Kolibri,/jogos/32x/4815/kolibri/
32x,4080,Metal Head,/jogos/32x/4080/metal-head/
32x,4085,Mortal Kombat II,/jogos/32x/4085/mortal-kombat-ii/
32x,4077,Motocross Championship,/jogos/32x/4077/motocross-championship/
32x,4823,Pitfall: The Mayan Adventure,/jogos/32x/4823/pitfall-the-mayan-adventure/
32x,4084,Primal Rage,/jogos/32x/4084/primal-rage/
32x,4072,Shadow Squadron,/jogos/32x/4072/shadow-squadron/
32x,4083,Space Harrier,/jogos/32x/4083/space-harrier/
32x,4078,Star Trek Starfleet Academy: Starship Bridge Simulator,/jogos/32x/4078/star-trek-starfleet-academy-starship-bridge-simulator/
32x,4082,Star Wars Arcade,/jogos/32x/4082/star-wars-arcade/
32x,4822,Tempo,/jogos/32x/4822/tempo/
32x,4073,The Amazing Spider-Man: Web of Fire,/jogos/32x/4073/the-amazing-spider-man-web-of-fire/
32x,4081,Virtua Fighter,/jogos/32x/4081/virtua-fighter/
32x,4076,Virtua Racing Deluxe,/jogos/32x/4076/virtua-racing-deluxe/
32x,4819,Zaxxon's Motherbase 2000,/jogos/32x/4819/zaxxons-motherbase-2000/
